,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
0,KEN,Kenya,Garissa,WKS0062186,55.7,-0.35,39.605,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,141.89,142.59,145.05,142.98,142.59,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
1,KEN,Kenya,Gitaru,WRI1000039,225.0,-0.7967,37.7497,Hydro,,,,1978.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,WRI,1020722,,,,,,,,,,677.1,840.07,856.5,826.65,894.27,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
2,KEN,Kenya,Iberafrica I & II (Nairobi south diesel PP),WRI1061216,109.0,-1.2431,36.8905,Oil,,,,,Iberafrica Power Ltd.,GPG ; Kenya Power,http://www.globalpower-generation.com/projects/kenya/ ; http://www.kplc.co.ke/AR2016/KPLC%202016%20Annual%20Report%20Upload.pdf,WRI,1019070,,,,,,,,,,,,,,216.47,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
3,KEN,Kenya,Kamburu,WRI1000040,94.2,-0.8093,37.6867,Hydro,,,,1974.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,GEODB,1020723,,,,,,,,,,304.22,373.54,384.03,367.98,346.05,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
4,KEN,Kenya,Kiambere,WRI1000041,168.0,-0.64,37.91,Hydro,,,,1987.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,GEODB,1020720,,,,,,,,,,539.49,635.56,650.63,625.57,591.21,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
5,KEN,Kenya,Kindaruma,WRI1000042,72.0,-0.806,37.811,Hydro,,,,1968.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,GEODB,1020724,,,,,,,,,,232.52,285.32,293.34,281.07,264.49,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
6,KEN,Kenya,Kipevu I,WRI1000050,74.0,-4.04,39.638,Oil,,,,2011.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/thermal-power-plant,GEODB,1020728,,,,,,,,,,,,,,146.96,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
7,KEN,Kenya,Kipevu II (Tsavo),WRI1000051,74.5,-4.0379,39.6333,Oil,,,,2001.0,Tsavo Power Company,Wartsila,http://www.wartsila.com/resources/customer-references/view/kipevu-ii-iii-kenya,GEODB,1046028,,,,,,,,,,,,,,147.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
8,KEN,Kenya,Kipevu III,WRI1000052,120.0,-4.0379,39.6333,Oil,,,,1999.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/thermal-power-plant,GEODB,1077885,,,,,,,,,,,,,,238.31,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
9,KEN,Kenya,Lake Turkana,WRI1000054,310.0,2.6447,36.7378,Wind,,,,2017.0,Lake Turkana Wind Power Ltd.,Lake Turkana Wind Power,http://ltwp.co.ke/,WRI,,,,,,,,,,,,,,,662.59,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
10,KEN,Kenya,Masinga,WRI1000043,40.0,-0.879,37.588,Hydro,,,,1980.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,GEODB,1020721,,,,,,,,,,121.25,156.19,158.21,156.16,152.32,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
11,KEN,Kenya,Ngong,WRI1061215,25.5,-1.3811,36.6356,Wind,,,,1993.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/wind,WRI,1020718|1080954,,,,,,,,,,54.35,48.32,51.33,51.76,48.54,WIND-V1,WIND-V1,WIND-V1,WIND-V1,WIND-V1
12,KEN,Kenya,Olkaria I,WRI1000048,45.0,-0.8893,36.2557,Geothermal,,,,1981.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/geothermal-plants,WRI,,,,,,,,,,,,,,,350.71,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
13,KEN,Kenya,Olkaria I,WRI1061218,185.0,-0.8933,36.3086,Geothermal,,,,1981.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,WRI,1020737,,,,,,,,,,,,,,1441.84,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
14,KEN,Kenya,Olkaria I units 4 & 5,WRI1061219,140.0,-0.891,36.2961,Geothermal,,,,2015.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/geothermal-plants,WRI,,,,,,,,,,,,,,,1091.12,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15,KEN,Kenya,Olkaria II,WRI1061221,105.0,-0.8644,36.2985,Geothermal,,,,1982.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/geothermal-plants,WRI,1020739,,,,,,,,,,,,,,818.34,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
16,KEN,Kenya,Olkaria III (Orpower 4),WRI1061220,139.0,-0.8905,36.2892,Geothermal,,,,2015.0,Ormat Technologies Inc,Ormat ; Kenya Power,http://www.ormat.com/en/projects/all/main/ ; http://www.kplc.co.ke/AR2016/KPLC%202016%20Annual%20Report%20Upload.pdf,WRI,1020738,,,,,,,,,,,,,,1083.33,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17,KEN,Kenya,Olkaria IV,WRI1061217,140.0,-0.9186,36.3338,Geothermal,,,,2014.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/geothermal-plants,WRI,1020740,,,,,,,,,,,,,,1091.12,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18,KEN,Kenya,Rabai,WRI1061214,90.0,-3.9334,39.5626,Oil,,,,2009.0,Rabai Power Company,BWSC,http://www.bwsc.com/Rabai-Power-Plant--Kenya.aspx?ID=208,WRI,1068345,,,,,,,,,,,,,,178.73,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
19,KEN,Kenya,Sondu Miru,WRI1061222,60.0,-0.3426,34.8521,Hydro,,,,2007.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=content/hydro-power-stations,WRI,1020745,,,,,,,,,,203.03,242.99,252.62,246.7,247.35,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
20,KEN,Kenya,Tana,WRI1000046,20.0,-0.7854,37.2654,Hydro,,,,2011.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,GEODB,1064103,,,,,,,,,,63.09,79.35,83.57,79.04,80.98,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
21,KEN,Kenya,Thika,WRI1061223,88.0,1.0605,37.0508,Oil,,,,2012.0,Thika Power Ltd,MAN Power plants,http://powerplants.man.eu/references/projects/thika-power-plant,WRI,1084747,,,,,,,,,,,,,,174.76,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
22,KEN,Kenya,Turkwel,WRI1000047,106.0,1.9138,35.3443,Hydro,,,,1990.0,Kenya Electric Generating Company,Kenya Electricity Generating Company,http://www.kengen.co.ke/?q=kengen-download,WRI,1020714,,,,,,,,,,396.68,465.18,469.58,466.1,457.92,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
